都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
401307,1,福岡県,福岡市,福岡市美術館,フクオカシビジュツカン,,,福岡市中央区大濠公園1-6,,33.584041,130.379754,(092)714-6051,,,,,,,,,,,
401307,2,福岡県,福岡市,福岡アジア美術館,フクオカアジアビジュツカン,,,福岡市博多区下川端町3-1,リバレインセンタービル7-8F,33.59509,130.405815,(092)263-1100,,,,,,,,,,,
401307,3,福岡県,福岡市,福岡市博物館,フクオカシハクブツカン,,,福岡市早良区百道浜3-1-1,,33.589768,130.353075,(092)845-5011,,,,,,,,,,,
401307,4,福岡県,福岡市,福岡市埋蔵文化財センター,フクオカシマイゾウブンカザイセンター,,,福岡市博多区井相田2-1-94,,33.555447,130.462618,(092)571-2921,,,,,,,,,,,
401307,5,福岡県,福岡市,福岡市赤煉瓦文化館,フクオカシアカレンガブンカカン,,,福岡市中央区天神1-15-30,,33.593084,130.401921,(092)722-4666,,,,,,,,,,,
