市区町村コード,都道府県名,市区町村名,調査年月日,NO,学校名,学校名_かな,学校名_カナ,総児童数,通常学級_学級数_1年,通常学級_学級数_2年,通常学級_学級数_3年,通常学級_学級数_4年,通常学級_学級数_5年,通常学級_学級数_6年,通常学級_学級数_複式学級数,通常学級_児童数（総数）_1年,通常学級_児童数（男子）_1年,通常学級_児童数（女子）_1年,通常学級_児童数（総数）_2年,通常学級_児童数（男子）_2年,通常学級_児童数（女子）_2年,通常学級_児童数（総数）_3年,通常学級_児童数（男子）_3年,通常学級_児童数（女子）_3年,通常学級_児童数（総数）_4年,通常学級_児童数（男子）_4年,通常学級_児童数（女子）_4年,通常学級_児童数（総数）_5年,通常学級_児童数（男子）_5年,通常学級_児童数（女子）_5年,通常学級_児童数（総数）_6年,通常学級_児童数（男子）_6年,通常学級_児童数（女子）_6年,特別支援学級_学級数,特別支援学級_児童数（総数）,特別支援学級_児童数（男子）,特別支援学級_児童数（女子）,通級指導教室_学級数,通級指導教室_児童数（総数）,通級指導教室_児童数（男子）,通級指導教室_児童数（女子）,備考
401307,福岡県,福岡市,2019-05-01,64,元岡,もとおか,モトオカ,784,4,4,4,4,4,4,0,120,68,52,117,66,51,135,70,65,133,78,55,135,74,61,144,79,65,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,65,北崎,きたざき,キタザキ,104,1,1,1,1,1,1,0,17,12,5,18,10,8,17,11,6,16,8,8,17,8,9,19,9,10,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,66,玄界,げんかい,ゲンカイ,17,1,1,1,1,1,1,0,2,1,1,5,2,3,4,3,1,2,2,0,2,1,1,2,2,0,0,,,,,,,,
401307,福岡県,福岡市,2019-05-01,67,小呂,おろ,オロ,10,0,0,1,1,1,0,1,2,0,2,2,0,2,1,0,1,4,3,1,1,1,0,0,0,0,0,,,,,,,,
401307,福岡県,福岡市,2019-05-01,68,千早,ちはや,チハヤ,970,5,5,5,5,4,4,0,175,96,79,174,91,83,168,86,82,165,87,78,142,72,70,146,85,61,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,69,小笹,おざさ,オザサ,816,4,4,4,4,4,4,0,131,62,69,137,73,64,132,69,63,127,73,54,136,74,62,153,78,75,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,70,七隈,ななくま,ナナクマ,717,4,4,4,4,3,4,0,118,64,54,110,48,62,113,55,58,126,62,64,116,61,55,134,66,68,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,71,老司,ろうじ,ロウジ,490,3,3,3,3,3,2,0,74,39,35,76,37,39,82,44,38,92,49,43,89,49,40,77,44,33,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,72,原西,はらにし,ハラニシ,702,4,4,4,3,3,3,0,118,65,53,129,70,59,122,70,52,107,60,47,105,64,41,121,60,61,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,73,長住,ながずみ,ナガズミ,533,3,3,3,2,3,3,0,84,41,43,102,58,44,84,41,43,79,52,27,96,45,51,88,49,39,6,,,,,,,,
401307,福岡県,福岡市,2019-05-01,74,原北,はらきた,ハラキタ,636,4,3,4,3,3,3,0,111,53,58,93,46,47,122,66,56,95,53,42,112,51,61,103,52,51,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,75,筑紫丘,ちくしがおか,チクシガオカ,541,3,3,3,3,3,2,0,99,37,62,91,50,41,103,49,54,85,41,44,82,47,35,81,42,39,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,76,西花畑,にしはなはた,ニシハナハタ,816,5,5,5,4,3,3,0,151,85,66,151,83,68,142,72,70,136,65,71,120,61,59,116,60,56,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,77,弥永,やなが,ヤナガ,300,2,2,2,2,1,2,0,41,14,27,50,24,26,50,28,22,57,25,32,40,25,15,62,25,37,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,78,堤,つつみ,ツツミ,509,3,2,3,3,3,3,0,84,35,49,69,36,33,96,48,48,83,42,41,91,48,43,86,50,36,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,79,飯倉,いいくら,イイクラ,557,3,3,3,3,3,3,0,97,50,47,84,40,44,100,47,53,82,42,40,91,47,44,103,59,44,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,80,城浜,しろはま,シロハマ,81,1,1,1,1,1,1,0,12,4,8,13,8,5,15,10,5,13,5,8,17,11,6,11,6,5,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,81,若宮,わかみや,ワカミヤ,523,3,3,3,3,2,3,0,84,45,39,91,41,50,80,43,37,80,39,41,81,45,36,107,53,54,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,82,城南,じょうなん,ジョウナン,881,4,4,5,5,4,4,0,124,61,63,133,68,65,156,71,85,161,75,86,157,76,81,150,72,78,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,83,勝馬,かつま,カツマ,36,1,1,0,0,0,0,2,8,6,2,4,1,3,9,5,4,6,3,3,4,1,3,5,4,1,0,,,,,,,,
401307,福岡県,福岡市,2019-05-01,84,志賀島,しかのしま,シカノシマ,8,1,1,1,1,0,0,0,3,1,2,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,,,,,,,,
401307,福岡県,福岡市,2019-05-01,85,西戸崎,さいとざき,サイトザキ,405,2,2,2,3,2,3,0,53,25,28,64,32,32,67,34,33,73,43,30,66,37,29,82,43,39,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,86,東花畑,ひがしはなはた,ヒガシハナハタ,555,3,4,3,3,3,3,0,83,42,41,108,65,43,86,48,38,94,47,47,94,51,43,90,48,42,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,87,金山,かなやま,カナヤマ,317,2,2,2,2,2,2,0,61,32,29,52,28,24,57,26,31,53,31,22,49,17,32,45,31,14,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,88,下山門,しもやまと,シモヤマト,599,3,3,3,3,3,3,0,97,54,43,93,45,48,101,48,53,109,48,61,97,53,44,102,52,50,5,,,,,,,,
401307,福岡県,福岡市,2019-05-01,89,長丘,ながおか,ナガオカ,765,4,4,4,4,3,4,0,131,59,72,124,68,56,122,60,62,134,65,69,123,62,61,131,66,65,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,90,美和台,みわだい,ミワダイ,873,5,4,5,5,4,4,0,158,72,86,137,69,68,146,78,68,142,78,64,147,72,75,143,72,71,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,91,八田,はった,ハッタ,531,3,3,3,3,3,3,0,101,48,53,78,33,45,83,38,45,91,47,44,86,38,48,92,52,40,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,92,板付北,いたづけきた,イタヅケキタ,348,2,2,2,2,2,2,0,58,32,26,41,23,18,71,31,40,61,24,37,63,28,35,54,33,21,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,93,西長住,にしながずみ,ニシナガズミ,268,2,1,2,2,2,2,0,50,30,20,34,14,20,42,27,15,42,21,21,58,33,25,42,23,19,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,94,賀茂,かも,カモ,645,4,3,3,4,3,3,0,113,60,53,102,53,49,98,51,47,115,56,59,108,55,53,109,48,61,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,95,脇山,わきやま,ワキヤマ,108,1,1,1,1,1,1,0,16,5,11,26,9,17,10,4,6,21,9,12,18,11,7,17,11,6,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,96,内野,うちの,ウチノ,349,2,2,2,2,2,2,0,61,42,19,61,28,33,56,28,28,60,33,27,55,28,27,56,28,28,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,97,曲渕,まがりふち,マガリフチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
401307,福岡県,福岡市,2019-05-01,98,入部,いるべ,イルベ,506,3,3,3,3,2,3,0,81,42,39,89,45,44,93,51,42,77,42,35,79,40,39,87,41,46,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,99,東月隈,ひがしつきぐま,ヒガシツキグマ,523,3,3,3,2,2,3,0,92,48,44,75,41,34,105,48,57,69,39,30,81,44,37,101,53,48,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,100,有田,ありた,アリタ,669,3,4,3,4,3,3,0,100,56,44,134,59,75,99,43,56,116,60,56,103,53,50,117,66,51,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,101,壱岐南,いきみなみ,イキミナミ,607,3,3,3,3,3,3,0,84,41,43,103,50,53,103,54,49,101,47,54,96,59,37,120,66,54,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,102,和白東,わじろひがし,ワジロヒガシ,693,4,4,3,4,3,3,0,120,72,48,109,55,54,110,67,43,118,53,65,116,56,60,120,57,63,3,,,,,,,,
